Order ID,Amount,Profit,Quantity,Category,Sub-Category,PaymentMode
25601,80,-56,4,Electronics,Electronic Games,UPI
25601,66,-12,5,Clothing,Stole,UPI
25601,1275,1148,7,Furniture,Bookcases,EMI
25601,8,-2,3,Clothing,Hankerchief,Credit Card
25602,2617,1151,4,Electronics,Phones,Credit Card
25602,561,212,3,Clothing,Saree,COD
25602,424,-272,5,Electronics,Phones,COD
25602,168,-111,2,Electronics,Phones,EMI
25602,119,-5,8,Clothing,Saree,Credit Card
25603,12,1,2,Clothing,Hankerchief,COD
25603,107,36,6,Clothing,Stole,COD
25603,116,16,4,Clothing,Stole,COD
25603,180,5,3,Clothing,Trousers,Debit Card
25603,193,-166,3,Clothing,Saree,EMI
25603,38,18,1,Clothing,Kurti,COD
25603,24,-30,1,Furniture,Chairs,COD
25603,1355,-60,5,Clothing,Trousers,COD
25604,65,17,2,Clothing,T-shirt,UPI
25604,157,5,9,Clothing,Saree,UPI
25605,75,0,7,Clothing,Saree,EMI
25606,87,4,2,Clothing,Shirt,COD
25607,50,-15,4,Clothing,Leggings,COD
25608,1364,1864,5,Furniture,Tables,Credit Card
25608,476,0,3,Furniture,Chairs,COD
25608,257,23,5,Clothing,Hankerchief,COD
25608,856,385,6,Electronics,Printers,COD
25609,485,29,4,Electronics,Electronic Games,COD
25609,249,-5,4,Clothing,Saree,COD
25610,43,0,3,Clothing,Saree,Debit Card
25610,68,-55,5,Electronics,Accessories,UPI
25610,107,-54,4,Clothing,Stole,EMI
25610,30,-5,2,Furniture,Furnishings,COD
25610,781,594,6,Electronics,Printers,Debit Card
25610,1076,-38,4,Electronics,Printers,COD
25611,160,-59,2,Clothing,Saree,EMI
25612,259,-55,2,Furniture,Chairs,COD
25613,1603,0,9,Clothing,Saree,Credit Card
25614,98,-12,2,Electronics,Electronic Games,Credit Card
25614,494,54,4,Furniture,Bookcases,COD
25615,68,20,5,Clothing,Hankerchief,Debit Card
25616,14,-2,3,Clothing,Hankerchief,UPI
25616,116,-56,5,Clothing,Stole,Credit Card
25616,42,12,5,Clothing,Hankerchief,COD
25616,22,-2,3,Clothing,Hankerchief,COD
25617,305,-270,5,Electronics,Electronic Games,Debit Card
25618,12,0,2,Clothing,Hankerchief,UPI
25618,362,127,1,Furniture,Bookcases,COD
25619,353,90,8,Clothing,Saree,COD
25620,193,46,1,Electronics,Printers,Credit Card
25621,333,-15,3,Electronics,Phones,COD
25621,233,-10,5,Electronics,Electronic Games,COD
25621,228,63,3,Electronics,Electronic Games,Credit Card
25622,534,0,3,Clothing,Saree,Debit Card
25623,149,-87,4,Clothing,Saree,COD
25623,105,20,2,Clothing,Stole,Debit Card
25623,158,69,3,Clothing,Stole,EMI
25623,53,1,4,Clothing,Stole,COD
25624,26,12,3,Clothing,Hankerchief,COD
25625,59,-30,3,Clothing,Leggings,Debit Card
25625,97,29,2,Clothing,Hankerchief,UPI
25625,635,-349,5,Clothing,Saree,Debit Card
25626,46,-14,1,Electronics,Phones,COD
25626,1103,276,3,Furniture,Chairs,EMI
25627,55,-39,4,Clothing,Stole,COD
25628,35,-8,2,Furniture,Furnishings,Debit Card
25628,219,-9,4,Clothing,Saree,Credit Card
25628,45,13,4,Clothing,Skirt,COD
25629,1560,421,3,Clothing,Trousers,COD
25630,34,-22,4,Clothing,T-shirt,COD
25630,133,12,5,Clothing,Stole,Debit Card
25630,114,-39,5,Clothing,Kurti,COD
25630,42,-26,2,Clothing,Kurti,COD
25630,40,-7,3,Clothing,Stole,COD
25630,143,-129,2,Electronics,Phones,COD
25631,89,-89,2,Furniture,Furnishings,COD
25632,19,-2,2,Clothing,Leggings,Debit Card
25633,496,-79,2,Clothing,Trousers,COD
25633,711,-8,4,Clothing,Saree,Debit Card
25633,249,-130,4,Electronics,Phones,UPI
25634,389,-83,3,Furniture,Chairs,UPI
25635,40,16,3,Clothing,Hankerchief,Debit Card
25635,382,30,3,Clothing,Saree,Credit Card
25635,23,2,2,Clothing,Skirt,UPI
25636,637,113,5,Clothing,Saree,UPI
25637,117,14,3,Clothing,Shirt,UPI
25638,182,-11,3,Furniture,Bookcases,Credit Card
25638,154,39,3,Clothing,Hankerchief,COD
25638,816,-96,3,Electronics,Printers,Debit Card
25638,880,97,8,Furniture,Furnishings,Debit Card
25639,1629,-153,3,Electronics,Phones,COD
25640,1499,239,13,Clothing,Saree,Credit Card
25640,68,-62,2,Clothing,Trousers,Debit Card
25640,122,-47,4,Clothing,Saree,EMI
25641,22,-6,1,Furniture,Furnishings,COD
25642,434,26,11,Clothing,Shirt,Credit Card
25643,50,-44,2,Clothing,Hankerchief,UPI
25643,1061,-36,8,Furniture,Bookcases,EMI
25643,37,-23,4,Clothing,Shirt,UPI
25643,263,-63,2,Electronics,Electronic Games,Debit Card
25643,36,-7,1,Electronics,Electronic Games,COD
25644,76,-92,8,Furniture,Furnishings,COD
25645,273,-87,4,Electronics,Phones,COD
25645,86,0,4,Clothing,T-shirt,Debit Card
25645,133,-42,1,Electronics,Printers,UPI
25645,183,-66,5,Electronics,Phones,UPI
25646,299,-8,2,Clothing,Saree,COD
25647,42,-6,4,Clothing,Saree,UPI
25648,30,13,1,Clothing,T-shirt,UPI
25648,100,-23,1,Electronics,Phones,COD
25648,130,-41,4,Clothing,Saree,EMI
25648,55,-26,4,Clothing,Saree,UPI
25649,27,-25,2,Clothing,Stole,COD
25650,512,-225,5,Clothing,Saree,COD
25650,351,-47,8,Electronics,Phones,COD
25650,238,20,2,Clothing,Saree,COD
25650,269,111,3,Clothing,Trousers,EMI
25650,211,-105,2,Clothing,Saree,Credit Card
25650,245,-78,2,Electronics,Printers,UPI
25650,31,-2,2,Clothing,Saree,Credit Card
25650,28,-26,2,Clothing,Stole,UPI
25650,925,-447,5,Electronics,Electronic Games,COD
25651,823,-18,7,Furniture,Chairs,COD
25651,457,-41,4,Clothing,Saree,COD
25651,7,0,1,Clothing,Leggings,COD
25651,159,4,1,Clothing,Saree,COD
25651,172,-103,3,Furniture,Chairs,EMI
25651,44,-8,3,Clothing,Stole,UPI
25651,200,-60,4,Furniture,Bookcases,UPI
25651,49,3,1,Clothing,Shirt,COD
25651,16,-10,2,Clothing,T-shirt,COD
25651,11,-4,2,Clothing,Skirt,COD
25652,206,-206,3,Clothing,Saree,COD
25652,174,-70,3,Electronics,Accessories,COD
25652,34,-6,4,Clothing,Leggings,COD
25652,21,-13,3,Clothing,Leggings,UPI
25652,24,-21,7,Clothing,Skirt,COD
25652,25,-2,5,Clothing,Hankerchief,UPI
25652,9,-6,2,Clothing,Hankerchief,COD
25653,1279,-640,8,Electronics,Printers,EMI
25653,668,-31,3,Electronics,Printers,Credit Card
25653,427,-50,7,Electronics,Phones,COD
25653,195,-117,5,Electronics,Phones,COD
25653,115,25,1,Electronics,Accessories,COD
25653,168,-10,3,Electronics,Accessories,UPI
25653,227,102,8,Electronics,Accessories,Debit Card
25653,28,-3,2,Clothing,Saree,UPI
25653,1327,318,8,Furniture,Chairs,EMI
25654,450,-90,3,Electronics,Printers,COD
25654,269,-86,2,Electronics,Electronic Games,EMI
25654,229,-23,2,Clothing,Saree,UPI
25654,122,-21,3,Furniture,Furnishings,UPI
25654,105,46,2,Clothing,Stole,UPI
25654,121,-17,3,Furniture,Furnishings,Credit Card
25654,54,-3,3,Clothing,Saree,COD
25654,34,12,3,Clothing,Hankerchief,Credit Card
25655,6,-3,1,Clothing,Hankerchief,UPI
25655,74,-123,8,Clothing,Skirt,UPI
25655,312,-312,7,Furniture,Chairs,COD
25655,44,-26,3,Clothing,Hankerchief,Debit Card
25655,396,-31,9,Clothing,Saree,COD
25655,110,-68,4,Clothing,Saree,EMI
25655,97,-62,2,Clothing,Trousers,COD
25655,9,-6,2,Clothing,Skirt,Credit Card
25655,7,-4,3,Clothing,Hankerchief,COD
25656,24,-1,2,Clothing,Hankerchief,COD
25656,6,3,1,Clothing,Hankerchief,COD
25656,30,-5,5,Clothing,Stole,UPI
25656,406,126,2,Clothing,Saree,COD
25656,56,18,2,Clothing,Hankerchief,Debit Card
25656,101,18,9,Clothing,Skirt,COD
25656,61,-23,2,Clothing,Saree,COD
25656,534,0,3,Clothing,Saree,Debit Card
25656,624,37,2,Electronics,Electronic Games,Debit Card
25656,651,169,5,Electronics,Printers,COD
25656,13,-1,3,Clothing,Hankerchief,COD
25656,1389,680,7,Clothing,Saree,COD
25657,1021,-48,4,Electronics,Electronic Games,EMI
25657,32,-22,5,Clothing,Saree,UPI
25657,288,-180,4,Furniture,Chairs,COD
25657,332,-43,6,Electronics,Phones,UPI
25658,27,9,2,Clothing,T-shirt,UPI
25659,148,72,7,Clothing,T-shirt,Debit Card
25660,245,-78,3,Clothing,Saree,COD
25661,55,-33,2,Furniture,Chairs,Debit Card
25661,58,-42,2,Furniture,Chairs,Debit Card
25661,145,-104,5,Furniture,Chairs,UPI
25661,224,-81,3,Furniture,Chairs,COD
25661,19,-15,3,Clothing,Hankerchief,Credit Card
25661,7,-1,2,Clothing,Hankerchief,Credit Card
25662,24,-2,2,Clothing,T-shirt,COD
25662,385,-77,11,Furniture,Furnishings,UPI
25662,86,-21,1,Electronics,Electronic Games,UPI
25663,294,138,2,Electronics,Printers,Debit Card
25664,444,-200,4,Electronics,Phones,EMI
25664,83,-48,1,Furniture,Bookcases,UPI
25664,258,-27,2,Electronics,Phones,Debit Card
25664,785,52,2,Electronics,Phones,Debit Card
25665,166,-113,4,Electronics,Accessories,EMI
25666,934,-916,7,Electronics,Electronic Games,COD
25667,11,-2,4,Clothing,Hankerchief,COD
25667,344,-34,3,Clothing,Saree,Debit Card
25667,41,6,5,Clothing,Skirt,Credit Card
25667,516,69,4,Furniture,Bookcases,UPI
25667,1030,206,8,Electronics,Printers,UPI
25668,123,17,3,Furniture,Furnishings,COD
25669,610,-66,2,Furniture,Tables,COD
25670,24,1,2,Clothing,Hankerchief,UPI
25670,656,-36,2,Furniture,Bookcases,Credit Card
25670,74,29,3,Clothing,Stole,COD
25670,14,2,1,Clothing,Hankerchief,COD
25671,832,0,3,Clothing,Trousers,UPI
25672,27,-15,1,Clothing,Stole,UPI
25673,143,-124,5,Clothing,Saree,UPI
25673,37,-5,3,Clothing,T-shirt,Debit Card
25673,45,-2,4,Clothing,Shirt,COD
25673,149,-1,1,Clothing,Saree,COD
25673,44,-17,5,Clothing,Saree,UPI
25674,17,-12,5,Clothing,Skirt,Debit Card
25675,929,-93,9,Clothing,Saree,COD
25676,674,-187,2,Furniture,Tables,COD
25676,342,-103,4,Electronics,Electronic Games,COD
25676,79,36,4,Clothing,Shirt,COD
25676,32,6,3,Clothing,Shirt,COD
25676,1263,-56,5,Clothing,Trousers,EMI
25677,20,-2,1,Electronics,Accessories,UPI
25678,27,-25,2,Clothing,Shirt,Debit Card
25678,327,-39,1,Electronics,Phones,COD
25678,64,-7,3,Clothing,Saree,COD
25678,7,-3,2,Clothing,Skirt,UPI
25679,76,-50,1,Clothing,Saree,COD
25680,73,-25,3,Clothing,Saree,COD
25681,1096,658,7,Electronics,Electronic Games,COD
25681,1625,-77,3,Electronics,Phones,EMI
25681,523,204,7,Clothing,Trousers,COD
25681,44,-3,1,Clothing,Saree,Debit Card
25681,243,-14,2,Furniture,Chairs,COD
25681,68,-27,3,Electronics,Accessories,UPI
25682,545,-73,11,Electronics,Phones,COD
25683,86,-55,6,Clothing,Saree,COD
25683,155,56,3,Furniture,Furnishings,EMI
25683,245,-3,4,Electronics,Phones,UPI
25683,433,26,3,Electronics,Printers,Debit Card
25683,148,52,5,Clothing,Stole,UPI
25684,134,42,2,Furniture,Chairs,COD
25685,264,-30,3,Furniture,Furnishings,Debit Card
25685,45,-2,4,Clothing,Shirt,COD
25685,51,7,2,Furniture,Furnishings,UPI
25685,529,137,3,Electronics,Phones,Debit Card
25686,1829,-56,6,Furniture,Tables,Credit Card
25686,381,-13,2,Clothing,Saree,COD
25686,332,503,3,Electronics,Printers,COD
25687,387,-213,5,Clothing,Saree,UPI
25687,17,6,1,Clothing,Stole,UPI
25687,357,139,2,Clothing,Saree,Debit Card
25687,51,21,3,Clothing,T-shirt,COD
25687,14,-1,4,Clothing,Kurti,COD
25688,352,-345,5,Clothing,Saree,Credit Card
25689,469,-459,3,Electronics,Electronic Games,COD
25689,97,17,2,Clothing,Stole,Credit Card
25689,149,136,3,Clothing,Stole,UPI
25690,31,-10,3,Clothing,Skirt,COD
25691,714,56,4,Clothing,Saree,COD
25691,75,-25,3,Clothing,Stole,UPI
25691,17,-9,3,Clothing,Stole,COD
25692,141,28,7,Furniture,Furnishings,UPI
25693,76,-72,9,Clothing,Hankerchief,COD
25693,632,316,6,Clothing,Saree,COD
25693,32,-16,6,Clothing,Saree,UPI
25693,68,-30,1,Electronics,Phones,UPI
25693,72,-49,1,Electronics,Phones,COD
25693,82,-39,5,Clothing,T-shirt,EMI
25693,13,-13,2,Clothing,Skirt,COD
25694,167,43,7,Clothing,T-shirt,EMI
25695,171,14,9,Clothing,Shirt,Debit Card
25696,275,-275,4,Clothing,Saree,COD
25696,44,99,3,Clothing,Kurti,Debit Card
25696,117,-6,3,Electronics,Phones,COD
25696,116,-4,1,Clothing,Saree,COD
25696,168,-9,3,Clothing,Saree,COD
25696,887,80,3,Electronics,Printers,UPI
25697,1300,-16,8,Electronics,Printers,Credit Card
25697,115,-39,3,Clothing,Trousers,COD
25697,114,8,3,Electronics,Accessories,Debit Card
25697,73,-7,1,Electronics,Phones,COD
25697,67,-42,3,Clothing,Stole,COD
25697,322,193,5,Electronics,Printers,COD
25697,4,-3,1,Clothing,Skirt,Credit Card
25698,516,392,8,Furniture,Chairs,COD
25698,65,-16,2,Electronics,Phones,Debit Card
25698,207,153,3,Clothing,Saree,Credit Card
25698,87,-83,5,Clothing,Kurti,COD
25698,27,-6,4,Clothing,Hankerchief,COD
25698,7,-2,1,Clothing,Hankerchief,COD
25699,49,-31,2,Clothing,Stole,UPI
25699,20,-22,1,Furniture,Furnishings,UPI
25699,34,-13,5,Clothing,Leggings,COD
25699,21,-5,1,Electronics,Accessories,COD
25700,44,-32,3,Clothing,Stole,Debit Card
25700,129,-75,5,Clothing,Shirt,Debit Card
25700,7,-3,2,Clothing,Hankerchief,COD
25701,98,-45,2,Furniture,Chairs,UPI
25701,33,-29,3,Clothing,Shirt,UPI
25701,10,-8,2,Clothing,Skirt,COD
25701,33,-12,5,Clothing,Hankerchief,COD
25702,75,0,3,Clothing,Shirt,EMI
25702,306,-147,3,Clothing,Saree,Debit Card
25702,424,-17,9,Furniture,Chairs,Debit Card
25702,31,-3,4,Clothing,Saree,COD
25702,941,203,3,Furniture,Tables,UPI
25703,231,-190,9,Clothing,Hankerchief,COD
25703,97,-45,4,Clothing,Saree,COD
25703,32,-5,5,Clothing,Hankerchief,UPI
25703,47,-27,4,Clothing,Saree,COD
25703,42,-23,2,Furniture,Furnishings,UPI
25703,186,241,9,Clothing,Shirt,Credit Card
25703,17,-3,2,Clothing,Stole,UPI
25703,22,-15,4,Clothing,Kurti,COD
25704,126,-63,3,Electronics,Accessories,UPI
25704,102,0,3,Electronics,Phones,COD
25705,46,0,2,Electronics,Electronic Games,COD
25706,31,-11,4,Clothing,Stole,COD
25707,8,-6,1,Clothing,Stole,COD
25708,709,-100,5,Electronics,Phones,COD
25708,191,13,8,Furniture,Furnishings,COD
25708,32,-8,2,Clothing,Stole,COD
25708,81,-51,7,Clothing,Stole,EMI
25709,33,-12,7,Clothing,Saree,UPI
25709,41,-6,1,Furniture,Chairs,Credit Card
25710,10,-1,1,Clothing,Leggings,UPI
25710,216,-38,6,Furniture,Furnishings,UPI
25710,25,0,4,Clothing,Skirt,UPI
25710,53,-18,4,Clothing,T-shirt,UPI
25710,616,-69,7,Furniture,Furnishings,Debit Card
25710,13,-8,1,Clothing,T-shirt,COD
25711,100,-58,4,Clothing,Hankerchief,COD
25712,193,-275,3,Electronics,Phones,Credit Card
25713,158,-63,4,Furniture,Chairs,UPI
25714,11,-5,2,Clothing,Hankerchief,COD
25714,340,20,7,Clothing,Shirt,Credit Card
25715,416,137,3,Electronics,Phones,Debit Card
25716,58,0,4,Clothing,Saree,UPI
25717,561,212,3,Clothing,Saree,Credit Card
25717,138,-3,5,Clothing,Saree,COD
25717,90,17,3,Clothing,Shirt,COD
25717,55,-33,2,Furniture,Chairs,COD
25718,371,115,1,Furniture,Bookcases,Debit Card
25718,460,31,3,Furniture,Bookcases,Debit Card
25719,29,10,2,Clothing,Stole,COD
25720,30,-35,1,Furniture,Chairs,COD
25721,149,-40,2,Electronics,Phones,COD
25721,29,-18,7,Clothing,Skirt,UPI
25721,191,51,5,Clothing,Shirt,UPI
25722,48,-8,8,Clothing,Stole,COD
25723,12,-7,2,Clothing,Leggings,UPI
25723,76,-54,3,Electronics,Electronic Games,COD
25723,26,-24,1,Clothing,Stole,COD
25723,16,-12,2,Clothing,Stole,UPI
25724,168,-51,2,Furniture,Bookcases,COD
25725,144,-7,4,Electronics,Electronic Games,COD
25725,26,-5,2,Clothing,Stole,UPI
25725,23,-5,7,Clothing,Hankerchief,Credit Card
25726,490,-128,8,Furniture,Bookcases,UPI
25727,327,114,4,Clothing,Trousers,COD
25727,57,-48,6,Clothing,Leggings,Debit Card
25728,1055,264,4,Electronics,Printers,EMI
25728,771,-424,2,Electronics,Phones,Credit Card
25728,322,-113,4,Clothing,Saree,Credit Card
25729,1549,-439,4,Electronics,Phones,Credit Card
25730,1145,-706,3,Electronics,Phones,Credit Card
25730,18,8,2,Clothing,Hankerchief,Debit Card
25730,473,42,4,Furniture,Chairs,COD
25730,187,30,4,Electronics,Accessories,Credit Card
25730,83,-81,3,Furniture,Chairs,COD
25730,96,22,5,Clothing,Stole,Credit Card
25731,131,-154,8,Furniture,Furnishings,COD
25732,16,-5,2,Clothing,Stole,UPI
25733,43,-43,7,Clothing,Stole,Debit Card
25733,30,-10,2,Clothing,Stole,COD
25733,23,-6,4,Clothing,Hankerchief,COD
25734,108,-19,3,Electronics,Electronic Games,UPI
25735,7,-1,2,Clothing,Skirt,UPI
25735,12,-2,3,Clothing,Hankerchief,COD
25735,15,-7,1,Clothing,Hankerchief,UPI
25736,31,-7,5,Clothing,Skirt,UPI
25737,187,-15,3,Clothing,Trousers,COD
25738,70,-14,2,Furniture,Furnishings,UPI
25738,72,-6,3,Clothing,Saree,UPI
25738,148,-91,2,Electronics,Phones,COD
25738,1069,0,6,Clothing,Saree,EMI
25739,133,-56,2,Furniture,Chairs,COD
25740,58,-8,2,Clothing,Saree,COD
25740,40,-37,3,Clothing,Stole,COD
25740,7,0,2,Clothing,Skirt,COD
25741,482,-6,7,Electronics,Electronic Games,EMI
25742,11,-8,2,Clothing,Skirt,UPI
25743,503,-56,2,Clothing,Trousers,COD
25743,99,-5,1,Clothing,Saree,UPI
25743,143,-124,5,Clothing,Saree,UPI
25743,56,0,4,Clothing,Hankerchief,COD
25743,74,-51,3,Clothing,Stole,UPI
25744,373,254,6,Electronics,Printers,UPI
25745,296,225,11,Clothing,Saree,COD
25745,132,-79,5,Furniture,Furnishings,COD
25745,44,-8,3,Clothing,Stole,Credit Card
25745,670,15,5,Furniture,Bookcases,Debit Card
25746,87,16,2,Clothing,Saree,UPI
25747,877,395,2,Furniture,Bookcases,Credit Card
25748,47,-21,2,Electronics,Electronic Games,COD
25748,224,58,3,Electronics,Phones,UPI
25748,141,10,4,Clothing,Shirt,UPI
25748,8,-1,2,Clothing,Leggings,COD
25749,1052,-82,3,Furniture,Bookcases,UPI
25750,19,-1,1,Clothing,Shirt,Debit Card
25750,208,-25,2,Clothing,Saree,COD
25750,212,-24,2,Furniture,Chairs,COD
25750,199,-18,2,Clothing,Saree,COD
25750,78,-6,2,Furniture,Furnishings,UPI
25750,73,-31,1,Furniture,Bookcases,COD
25750,42,-15,12,Clothing,Skirt,UPI
25750,22,-12,3,Clothing,Stole,COD
25750,539,-146,7,Furniture,Furnishings,Debit Card
25751,32,7,3,Clothing,Hankerchief,COD
25751,221,-15,2,Electronics,Electronic Games,COD
25751,10,-8,1,Clothing,Kurti,UPI
25751,106,0,2,Electronics,Phones,EMI
25751,65,-4,6,Clothing,Hankerchief,COD
25751,43,-5,2,Clothing,Saree,COD
25751,43,21,3,Clothing,Shirt,COD
25751,534,5,2,Electronics,Electronic Games,Debit Card
25751,68,-56,2,Electronics,Phones,COD
25751,14,-3,2,Clothing,Leggings,COD
25752,761,266,9,Electronics,Electronic Games,COD
25752,735,-235,6,Electronics,Printers,COD
25752,76,27,5,Clothing,Stole,COD
25752,91,15,6,Clothing,T-shirt,UPI
25752,33,-27,1,Furniture,Chairs,Credit Card
25752,1361,197,9,Furniture,Bookcases,COD
25752,8,-2,2,Clothing,Hankerchief,COD
25753,341,-85,6,Clothing,Trousers,Credit Card
25753,154,22,7,Clothing,T-shirt,COD
25753,65,-52,3,Electronics,Accessories,COD
25753,47,-114,5,Furniture,Furnishings,COD
25753,62,-56,5,Clothing,Kurti,COD
25753,77,-43,8,Clothing,Stole,COD
25753,27,-20,2,Clothing,Hankerchief,COD
25753,107,31,5,Clothing,T-shirt,COD
25753,620,82,6,Electronics,Accessories,COD
25754,9,-1,3,Clothing,Skirt,UPI
25754,72,-46,7,Clothing,Kurti,Debit Card
25754,19,0,3,Clothing,Skirt,UPI
25754,41,-14,5,Clothing,Leggings,UPI
25754,93,-65,4,Clothing,Stole,Credit Card
25754,262,215,2,Electronics,Printers,Debit Card
25754,319,312,5,Clothing,Saree,Debit Card
25754,30,-23,2,Clothing,Saree,UPI
25755,1709,564,3,Clothing,Trousers,Credit Card
25755,134,-34,2,Furniture,Chairs,COD
25755,47,-3,2,Clothing,Stole,UPI
25755,257,-3,2,Furniture,Bookcases,UPI
25755,80,-19,5,Clothing,Stole,UPI
25755,26,4,2,Clothing,Saree,UPI
25755,37,-53,3,Clothing,Saree,Credit Card
25755,593,213,4,Furniture,Bookcases,Debit Card
25755,321,315,5,Clothing,Saree,UPI
25756,729,-492,5,Furniture,Bookcases,UPI
25756,465,-33,4,Electronics,Phones,EMI
25756,204,276,3,Furniture,Bookcases,COD
25756,29,-24,4,Clothing,Leggings,COD
25756,643,-45,2,Electronics,Printers,Debit Card
25757,17,-13,4,Clothing,Skirt,Debit Card
25757,46,14,5,Clothing,Skirt,Debit Card
25757,211,19,8,Clothing,Stole,COD
25757,165,30,3,Clothing,Stole,COD
25757,34,-11,5,Clothing,T-shirt,COD
25757,98,9,2,Furniture,Furnishings,COD
25757,106,15,7,Clothing,Hankerchief,Credit Card
25757,53,15,2,Clothing,Stole,COD
25757,14,5,1,Clothing,Hankerchief,COD
25757,17,7,3,Clothing,Hankerchief,UPI
25757,3151,-35,7,Clothing,Trousers,EMI
25758,8,-2,1,Clothing,Stole,COD
25759,20,-9,6,Clothing,Hankerchief,Debit Card
25760,322,-193,5,Electronics,Printers,UPI
25761,2188,1050,5,Furniture,Bookcases,Credit Card
25761,418,70,7,Electronics,Phones,COD
25761,102,-90,1,Clothing,Saree,COD
25761,263,-31,9,Electronics,Electronic Games,Debit Card
25761,328,-15,3,Electronics,Electronic Games,Debit Card
25761,40,0,3,Clothing,Saree,Credit Card
25762,1316,527,7,Electronics,Electronic Games,Credit Card
25762,98,-5,2,Clothing,Saree,UPI
25762,27,4,3,Clothing,Skirt,COD
25763,58,-52,3,Furniture,Chairs,COD
25764,26,0,2,Clothing,Kurti,COD
25764,349,-24,2,Clothing,Saree,Debit Card
25764,765,-153,2,Electronics,Phones,Debit Card
25764,119,43,5,Clothing,T-shirt,COD
25765,139,14,3,Clothing,Stole,COD
